bill_no.,Doc URL,Status
HB 3025,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3025,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3026,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3026,"HOUSE Jun 30, 2021: Chapter 249, (2021 Laws): Effective date June 11, 2021."
HB 3027,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3027,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3028,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3028,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3029,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3029,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3030,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3030,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3031,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3031,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3032,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3032,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3033,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3033,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3034,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3034,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3035,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3035,"SENATE Jun 26, 2021: President signed."
HB 3036,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3036,"HOUSE Jul 7, 2021: Chapter 349, (2021 Laws): Effective date June 23, 2021."
HB 3037,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3037,"HOUSE Jun 15, 2021: Chapter 185, (2021 Laws): effective on the 91st day following adjournment sine die."
HB 3038,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3038,"HOUSE Jun 26, 2021: In committee upon adjournment."
SCR 21,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR21,"SENATE Mar 1, 2021: Filed With Secretary of State."
SB 1,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB1,"SENATE Jun 26, 2021: In committee upon adjournment."
SCR 1,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR1,"SENATE May 27, 2021: Filed With Secretary of State."
SJM 1,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJM1,"HOUSE Jun 26, 2021: In committee upon adjournment."
SJR 1,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJR1,"SENATE Jun 26, 2021: In committee upon adjournment."
SR 1,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SR1,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 2,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB2,"SENATE Jul 7, 2021: Effective date, January 1, 2022."
SCR 2,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR2,"HOUSE Jun 26, 2021: In committee upon adjournment."
SJM 2,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJM2,"SENATE Jun 8, 2021: Filed With Secretary of State."
SJR 2,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJR2,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 3,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB3,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SCR 3,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SCR3,"SENATE Jun 3, 2021: Filed With Secretary of State."
SJM 3,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJM3,"SENATE May 26, 2021: Filed With Secretary of State."
SJR 3,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SJR3,"SENATE Jun 26, 2021: In committee upon adjournment."
