bill_no.,Doc URL,Status
HB 3395,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3395,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3396,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3396,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 863,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB863,"HOUSE Jun 26, 2021: Speaker signed."
SB 861,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB861,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 862,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB862,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3394,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3394,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3393,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3393,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3392,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3392,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 860,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB860,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 859,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB859,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3391,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3391,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 858,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB858,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3390,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3390,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 5,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB5,"SENATE Jul 7, 2021: Effective date, June 29, 2021."
SB 855,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB855,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 856,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB856,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 857,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB857,"HOUSE Jun 26, 2021: In committee upon adjournment."
HCR 30,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR30,"HOUSE Jun 17, 2021: Filed with Secretary of State."
HB 3382,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3382,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3383,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3383,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3384,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3384,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3385,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3385,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3386,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3386,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3387,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3387,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3388,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3388,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3389,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3389,"SENATE Jun 26, 2021: President signed."
SB 853,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB853,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 854,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB854,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 850,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB850,"SENATE Jul 7, 2021: Effective date, January 1, 2022."
SB 851,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB851,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 852,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB852,"SENATE Jun 26, 2021: In committee upon adjournment."
HB 3373,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3373,"SENATE Jun 26, 2021: President signed."
HB 3374,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3374,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3375,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3375,"HOUSE Jul 7, 2021: Chapter 376, (2021 Laws): Effective date September 25, 2021."
HB 3376,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3376,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3377,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3377,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3378,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3378,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3379,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3379,"HOUSE Jun 15, 2021: Chapter 188, (2021 Laws): Effective date June 8, 2021."
HB 3380,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3380,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3381,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3381,"HOUSE Jun 26, 2021: In committee upon adjournment."
HCR 28,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR28,"HOUSE Jun 26, 2021: Filed with Secretary of State."
HCR 29,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR29,"HOUSE Jun 26, 2021: Filed with Secretary of State."
HB 3369,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3369,"HOUSE Jun 10, 2021: Chapter 130, (2021 Laws): Effective date January 1, 2022."
HB 3370,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3370,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3371,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3371,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3372,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3372,"HOUSE Jun 30, 2021: Chapter 307, (2021 Laws): Effective date September 25, 2021."
SB 847,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB847,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 848,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB848,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 849,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB849,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 844,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB844,"HOUSE Jul 1, 2021: Speaker signed."
SB 845,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB845,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 846,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB846,"SENATE May 25, 2021: Effective date, April 30, 2021."
HR 2,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HR2,"HOUSE Jun 26, 2021: In committee upon adjournment."
