bill_no.,Doc URL,Status
SB 150,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB150,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 151,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB151,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 152,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB152,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 153,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB153,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 154,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB154,"HOUSE Jul 1, 2021: Speaker signed."
SB 155,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB155,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 156,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB156,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 157,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB157,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 158,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB158,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 159,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB159,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 160,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB160,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 161,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB161,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 162,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB162,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 163,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB163,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 164,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB164,"HOUSE Jun 26, 2021: Speaker signed."
SB 165,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB165,"HOUSE Jun 22, 2021: Speaker signed."
SB 166,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB166,"SENATE Apr 8, 2021: Vote explanation(s) filed by Heard."
SB 167,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB167,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 168,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB168,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 169,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB169,"SENATE Jun 10, 2021: Effective date, January 1, 2022."
SB 170,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB170,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 171,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB171,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 172,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB172,"SENATE Jul 7, 2021: Effective date, June 23, 2021."
SB 173,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB173,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 174,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB174,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 175,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB175,"HOUSE Jun 21, 2021: Speaker signed."
SB 176,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB176,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 177,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB177,"SENATE Jun 30, 2021: Effective date, June 15, 2021."
SB 178,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB178,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 179,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB179,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 180,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB180,"SENATE Jun 10, 2021: Effective date, January 1, 2022."
SB 181,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB181,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 182,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB182,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 183,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB183,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 184,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB184,"SENATE Jun 15, 2021: Effective date, January 1, 2022."
SB 185,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB185,"SENATE Jul 7, 2021: Effective date, January 1, 2022."
SB 186,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB186,"SENATE Jun 10, 2021: Effective date, January 1, 2022."
SB 187,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB187,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 188,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB188,"SENATE Jun 10, 2021: Effective date, January 1, 2022."
SB 189,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB189,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 190,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB190,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 191,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB191,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 192,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB192,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 193,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB193,"HOUSE Jun 21, 2021: Speaker signed."
SB 194,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB194,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 195,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB195,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 196,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB196,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 197,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB197,"HOUSE Jun 21, 2021: Speaker signed."
SB 198,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB198,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 199,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB199,"SENATE Jun 30, 2021: Effective date, September 25, 2021."
SB 200,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB200,"SENATE Jun 30, 2021: Effective date, January 1, 2022."
SB 201,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB201,"HOUSE Jun 21, 2021: Speaker signed."
SB 202,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB202,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 203,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB203,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 204,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB204,"HOUSE Jun 22, 2021: Speaker signed."
SB 205,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB205,"HOUSE Jun 21, 2021: Speaker signed."
SB 206,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB206,"HOUSE Jun 21, 2021: Speaker signed."
SB 207,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB207,"SENATE Jun 26, 2021: In committee upon adjournment."
