bill_no.,Doc URL,Status
SB 350,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB350,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 351,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB351,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 352,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB352,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 353,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB353,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 354,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB354,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 355,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB355,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 356,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB356,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 357,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB357,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 358,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB358,"HOUSE Jul 1, 2021: Speaker signed."
SB 359,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB359,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 360,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB360,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 361,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB361,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 362,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB362,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 363,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB363,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 364,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB364,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 365,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB365,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 366,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB366,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 367,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB367,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 368,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB368,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 369,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB369,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 370,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB370,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 371,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB371,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 372,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB372,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 373,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB373,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 374,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB374,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 375,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB375,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 376,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB376,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 377,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB377,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 378,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB378,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 379,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB379,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 380,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB380,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 381,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB381,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 382,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB382,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 383,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB383,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 384,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB384,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 385,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB385,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 386,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB386,"SENATE Jun 30, 2021: Effective date, September 25, 2021."
SB 387,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB387,"SENATE Jun 26, 2021: In committee upon adjournment."
