bill_no.,Doc URL,Status
HCR 27,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR27,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3364,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3364,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3365,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3365,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3366,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3366,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3367,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3367,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3368,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3368,"HOUSE Jun 26, 2021: In committee upon adjournment."
HCR 26,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HCR26,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3360,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3360,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3361,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3361,"HOUSE Jun 15, 2021: Chapter 187, (2021 Laws): Effective date January 1, 2022."
HB 3362,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3362,"HOUSE Jun 26, 2021: In committee upon adjournment."
HB 3363,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/HB3363,"HOUSE Jun 26, 2021: In committee upon adjournment."
SB 841,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB841,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 842,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB842,"SENATE Jun 26, 2021: In committee upon adjournment."
SB 843,https://olis.leg.state.or.us/liz/2021R1/Measures/Overview/SB843,"SENATE Jun 10, 2021: Effective date, May 21, 2021."
